fileName,active,#commits,#commitsWithRename,diff(#commitsWR-#commits)
core/src/main/java/hudson/model/BuildableItem.java,0,0,0,0
core/src/main/java/hudson/model/BuildableItemWithBuildWrappers.java,0,0,0,0
core/src/main/java/hudson/model/BuildAuthorizationToken.java,0,0,0,0
core/src/main/java/hudson/model/BuildBadgeAction.java,0,0,0,0
core/src/main/java/hudson/model/BuildListener.java,0,0,0,0
core/src/main/java/hudson/model/BuildTimelineWidget.java,0,0,0,0
core/src/main/java/hudson/model/BuildVariableContributor.java,0,0,0,0
core/src/main/java/hudson/model/Cause.java,1,1,1,0
core/src/main/java/hudson/model/CauseAction.java,0,0,0,0
core/src/main/java/hudson/model/CheckPoint.java,0,0,0,0
core/src/main/java/hudson/model/ChoiceParameterDefinition.java,0,0,0,0
core/src/main/java/hudson/model/Computer.java,1,5,5,0
core/src/main/java/hudson/model/ComputerPinger.java,0,0,0,0
core/src/main/java/hudson/model/ComputerSet.java,1,1,1,0
core/src/main/java/hudson/model/DependecyDeclarer.java,0,0,0,0
core/src/main/java/hudson/model/DependencyGraph.java,1,1,1,0
core/src/main/java/hudson/model/Describable.java,0,0,0,0
core/src/main/java/hudson/model/Descriptor.java,1,4,4,0
core/src/main/java/hudson/model/DescriptorByNameOwner.java,0,0,0,0
core/src/main/java/hudson/model/DescriptorVisibilityFilter.java,0,0,0,0
core/src/main/java/hudson/model/DirectoryBrowserSupport.java,0,0,0,0
core/src/main/java/hudson/model/DownloadService.java,1,1,1,0
core/src/main/java/hudson/model/Environment.java,0,0,0,0
core/src/main/java/hudson/model/EnvironmentContributingAction.java,0,0,0,0
core/src/main/java/hudson/model/EnvironmentContributor.java,0,0,0,0
core/src/main/java/hudson/model/EnvironmentSpecific.java,0,0,0,0
core/src/main/java/hudson/model/Executor.java,1,3,3,0
core/src/main/java/hudson/model/ExecutorListener.java,0,0,0,0
core/src/main/java/hudson/model/ExternalJob.java,0,0,0,0
core/src/main/java/hudson/model/ExternalRun.java,1,1,1,0
core/src/main/java/hudson/model/Failure.java,0,0,0,0
core/src/main/java/hudson/model/FileParameterDefinition.java,0,0,0,0
core/src/main/java/hudson/model/FileParameterValue.java,0,0,0,0
core/src/main/java/hudson/model/Fingerprint.java,1,2,2,0
core/src/main/java/hudson/model/FingerprintCleanupThread.java,1,1,1,0
core/src/main/java/hudson/model/FingerprintMap.java,0,0,0,0
core/src/main/java/hudson/model/FreeStyleBuild.java,0,0,0,0
core/src/main/java/hudson/model/FreeStyleProject.java,0,0,0,0
core/src/main/java/hudson/model/FullDuplexHttpChannel.java,0,0,0,0
core/src/main/java/hudson/model/HealthReport.java,0,0,0,0
core/src/main/java/hudson/model/HealthReportingAction.java,0,0,0,0
core/src/main/java/hudson/model/Hudson.java,1,1,1,0
core/src/main/java/hudson/model/InvisibleAction.java,0,0,0,0
core/src/main/java/hudson/model/Item.java,1,2,2,0
core/src/main/java/hudson/model/ItemGroup.java,0,0,0,0
core/src/main/java/hudson/model/ItemGroupMixIn.java,1,1,1,0
core/src/main/java/hudson/model/Items.java,0,0,0,0
core/src/main/java/hudson/model/ItemVisitor.java,0,0,0,0
core/src/main/java/hudson/model/JDK.java,0,0,0,0
core/src/main/java/hudson/model/Job.java,1,3,3,0
core/src/main/java/hudson/model/JobParameterDefinition.java,0,0,0,0
core/src/main/java/hudson/model/JobParameterValue.java,0,0,0,0
core/src/main/java/hudson/model/JobProperty.java,0,0,0,0
core/src/main/java/hudson/model/JobPropertyDescriptor.java,0,0,0,0
core/src/main/java/hudson/model/Jobs.java,0,0,0,0
core/src/main/java/hudson/model/Label.java,1,1,1,0
core/src/main/java/hudson/model/LabelFinder.java,0,0,0,0
core/src/main/java/hudson/model/labels/LabelAssignmentAction.java,0,0,0,0
core/src/main/java/hudson/model/labels/LabelAtom.java,0,0,0,0
core/src/main/java/hudson/model/labels/LabelAtomProperty.java,0,0,0,0
core/src/main/java/hudson/model/labels/LabelAtomPropertyDescriptor.java,0,0,0,0
core/src/main/java/hudson/model/labels/LabelExpression.java,0,0,0,0
core/src/main/java/hudson/model/labels/LabelOperatorPrecedence.java,0,0,0,0
core/src/main/java/hudson/model/labels/LabelVisitor.java,0,0,0,0
core/src/main/java/hudson/model/labels/package-info.java,0,0,0,0
core/src/main/java/hudson/model/LargeText.java,0,0,0,0
